deviceId,time,ExpiredCO2,ExpiredO2,MVe,flowrate,frequency,pressure,ventilationMode,volumePerMinute,volumePerMovement,current,pressure1,pressure2,temperature1,temperature2
3089,1587245278,5.23,39.56,6345,-9654,10,5,Flowrate Control,2200,220,50,82,294,25.86,24.44
3089,1587245280,5.31,39.89,6345,-4532,10,1,Flowrate Control,2200,220,50,48,109,25.66,24.25
3089,1587245282,5.34,39.29,6345,-311,10,5,Flowrate Control,2200,220,50,122,333,25.71,24.4
3089,1587245284,5.29,40.01,6345,-5213,10,1,Flowrate Control,2200,220,50,49,118,25.63,24.27
3089,1587245286,5.35,39.7,6345,-363,10,5,Flowrate Control,2200,220,50,121,340,25.74,24.04
3089,1587245288,5.32,39.54,6345,-5250,10,1,Flowrate Control,2200,220,50,49,113,25.98,24.19
3089,1587245290,5.27,40.27,6345,-9656,10,5,Flowrate Control,2200,220,50,85,293,25.99,24.37
3089,1587245292,5.31,39.85,6345,-4531,10,1,Flowrate Control,2200,220,50,48,109,26.17,24.17
3089,1587245294,5.32,40.61,6345,-9654,10,5,Flowrate Control,2200,220,50,82,291,26.41,24.13
3089,1587245296,5.28,39.84,6345,-4532,10,1,Flowrate Control,2200,220,50,48,109,26.38,23.96
3089,1587245298,5.31,40.54,6345,-164,10,5,Flowrate Control,2200,220,50,122,341,26.55,24.08
3089,1587245300,5.21,41.25,6345,-5246,10,1,Flowrate Control,2200,220,50,49,113,26.8,23.92
3089,1587245302,5.19,40.61,6345,-6352,10,5,Flowrate Control,2200,220,50,124,334,26.53,24.04
3089,1587245304,5.29,41.19,6345,-5290,10,1,Flowrate Control,2200,220,50,49,113,26.43,24.17
3089,1587245306,5.39,40.38,6345,-6902,10,5,Flowrate Control,2200,220,50,81,293,26.43,24.12
3089,1587245308,5.34,39.96,6345,-4531,10,1,Flowrate Control,2200,220,50,48,113,26.2,23.9
3089,1587245310,5.33,39.6,6345,-302,10,5,Flowrate Control,2200,220,50,122,332,26.17,23.67
